"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","PX_ASK","PX_BID"
"AUDJPYVON BGN Curncy",0,3,11.385000  ,15.850000  ,6.920000  ,
"AUDJPY25RON BGN Curncy",0,3,-.930000  ,2.195000  ,-4.055000  ,
"AUDJPY25BON BGN Curncy",0,3,.487500  ,2.720000  ,-1.745000  ,
"AUDJPYV1W BGN Curncy",0,3,9.785000  ,11.285000  ,8.285000  ,
"AUDJPY25R1W BGN Curncy",0,3,-1.410000  ,-.360000  ,-2.460000  ,
"AUDJPY25B1W BGN Curncy",0,3,.475000  ,1.225000  ,-.275000  ,
"AUDJPYV1M BGN Curncy",0,3,11.150000  ,11.675000  ,10.625000  ,
"AUDJPY25R1M BGN Curncy",0,3,-1.822500  ,-1.455000  ,-2.190000  ,
"AUDJPY25B1M BGN Curncy",0,3,.412500  ,.675000  ,.150000  ,
"AUDJPYV2M BGN Curncy",0,3,11.830000  ,12.330000  ,11.330000  ,
"AUDJPY25R2M BGN Curncy",0,3,-2.510000  ,-2.160000  ,-2.860000  ,
"AUDJPY25B2M BGN Curncy",0,3,.475000  ,.725000  ,.225000  ,
"AUDJPYV3M BGN Curncy",0,3,12.445000  ,13.070000  ,11.820000  ,
"AUDJPY25R3M BGN Curncy",0,3,-3.107500  ,-2.670000  ,-3.545000  ,
"AUDJPY25B3M BGN Curncy",0,3,.487500  ,.800000  ,.175000  ,
"AUDJPYV6M BGN Curncy",0,3,13.635000  ,14.185000  ,13.085000  ,
"AUDJPY25R6M BGN Curncy",0,3,-4.250000  ,-3.865000  ,-4.635000  ,
"AUDJPY25B6M BGN Curncy",0,3,.595000  ,.870000  ,.320000  ,
"AUDJPYV9M BGN Curncy",0,3,14.575000  ,15.100000  ,14.050000  ,
"AUDJPY25R9M BGN Curncy",0,3,-5.047500  ,-4.680000  ,-5.415000  ,
"AUDJPY25B9M BGN Curncy",0,3,.532500  ,.795000  ,.270000  ,
"AUDJPYV1Y BGN Curncy",0,3,15.135000  ,15.635000  ,14.635000  ,
"AUDJPY25R1Y BGN Curncy",0,3,-5.780000  ,-5.430000  ,-6.130000  ,
"AUDJPY25B1Y BGN Curncy",0,3,.605000  ,.855000  ,.355000  ,
"USDJPYVON BGN Curncy",0,3,7.800000  ,9.550000  ,6.050000  ,
"USDJPY25RON BGN Curncy",0,3,0.350000  ,1.575000  ,-0.875000  ,
"USDJPY25BON BGN Curncy",0,3,0.405000  ,1.280000  ,-0.470000  ,
"USDJPYV1W BGN Curncy",0,3,9.225000  ,9.725000  ,8.725000  ,
"USDJPY25R1W BGN Curncy",0,3,0.395000  ,0.745000  ,0.045000  ,
"USDJPY25B1W BGN Curncy",0,3,.240000  ,0.490000  ,-.010000  ,
"USDJPYV1M BGN Curncy",0,3,8.370000  ,8.575  ,8.165  ,
"USDJPY25R1M BGN Curncy",0,3,0.307  ,0.45  ,0.165  ,
"USDJPY25B1M BGN Curncy",0,3,0.228  ,0.33 ,0.125  ,
"USDJPYV2M BGN Curncy",0,3,8.625  ,8.835  ,8.415  ,
"USDJPY25R2M BGN Curncy",0,3,0.407  ,0.555  ,0.26  ,
"USDJPY25B2M BGN Curncy",0,3,0.265  ,0.37  ,0.16  ,
"USDJPYV3M BGN Curncy",0,3,8.68  ,8.875  ,8.485  ,
"USDJPY25R3M BGN Curncy",0,3,0.458  ,0.595  ,0.32  ,
"USDJPY25B3M BGN Curncy",0,3,0.307  ,0.405  ,0.21  ,
"USDJPYV6M BGN Curncy",0,3,8.972  ,9.15  ,8.795  ,
"USDJPY25R6M BGN Curncy",0,3,0.675  ,0.8  ,0.55  ,
"USDJPY25B6M BGN Curncy",0,3,0.415  ,0.505  ,0.325  ,
"USDJPYV9M BGN Curncy",0,3,9.098  ,9.265  ,8.93  ,
"USDJPY25R9M BGN Curncy",0,3,0.772  ,0.89  ,0.655  ,
"USDJPY25B9M BGN Curncy",0,3,0.505  ,0.59  ,0.42  ,
"USDJPYV1Y BGN Curncy",0,3,9.19  ,9.34  ,9.04  ,
"USDJPY25R1Y BGN Curncy",0,3,0.86  ,0.965  ,0.755  ,
"USDJPY25B1Y BGN Curncy",0,3,0.585  ,0.66  ,0.51  ,
